省,市,区,全名,别名,电话,地址
北京市,北京市,丰台区(246),北京国丹白癜风医院,北京白癜风医院-北京白癜风专科医院-北京治白斑医院,联系电话：010-88995799,北京市丰台区六里桥南太平桥路17号
北京市,北京市,大兴区(178),北京中科白癜风医院,北京中科白癜风医院,联系电话：400-158-2233,北京市三台山路南口临18号院
北京市,北京市,丰台区(246),北京卫人中医医院,北京卫人中医院-北京卫人白癜风专科-北京看白癜风哪家医院好,联系电话：010-87861678,13520735932(医院微信)
天津市,天津市,红桥区(20),天津中都白癜风医院,天津白癜风医院_天津白癜风专科医院,联系电话：022-87719929,天津市红桥区西青道94号（千禧园东区旁）
广东省,广州市,白云区(136),广州新世纪白癜风防治研究院,广州白癜风医院_广州白癜风专科医院,联系电话：400-660-0857,广州市白云区三元里大道中1085号（三元里大道合益街交叉路口）
广东省,广州市,越秀区(125),广州胎记机构,广东广州胎记专科_广州健肤皮肤专科,联系电话：17576075998,广州市越秀区广园西路121号美博城A座附楼
广东省,深圳市,罗湖区(106),深圳益尚门诊部,深圳治疗白癜风医院_深圳白癜风医院,联系电话：18319383601,广东省深圳市罗湖区怡景路1019号
广东省,广州市,天河区(108),广州中研白癜风医院,广州正规白癜风医院,广州专业看白癜风医院,广州中研白癜风专科医院,联系电话：020-89886120,广州市天河区中山大道西棠下BRT（沃尔玛旁）
广东省,东莞市,莞城区(21),东莞博润白癜风研究院,东莞白癜风医院_东莞白癜风专业医院_东莞博润中医医院,联系电话：0769-23601280,东莞市莞城街道旗峰路98号（东莞博润中医医院）
广西,南宁市,西乡塘区(43),南宁西京白癜风医院,南宁白癜风专科医院 南宁西京医院,联系电话：400-879-7179,南宁市秀厢大道东段10号（市交警一大队正对面、友爱立交桥旁）
河北省,石家庄,桥西区(46),石家庄远大白癜风医院,石家庄远大白癜风医院 石家庄白癜风医院 石家庄白癜风专科医院,联系电话：400-0330-199,河北省石家庄桥西区裕华东路7号
江苏省,南京市,雨花台区(17),南京痛十凤医院,南京风湿病医院,南京痛风医院,亚太痛风联盟分中心,联系电话：025-52171115,南京市雨花台区雨花西路83号
江苏省,南京市,玄武区(41),南京华厦白癜风,南京白癜风_江苏南京治疗白癜风医院哪家好,联系电话：400-0251-989,南京市玄武区红山路175号1-4（红山森林动物园东门）
江苏省,盐城市,亭湖区(14),盐城华研皮肤病专科门诊部,盐城白癜风医院_盐城看白癜风哪家医院好_盐城华研皮肤病医院怎么样,联系电话：0515-88243836,盐城市开放大道北路79号（招商场往北300米，大洋加油站旁）
江苏省,无锡市,南长区(89),无锡开源门诊部,无锡白癜风医院_无锡白癜风专科医院,联系电话：400-969-8336,拨打400-969-8336免费咨询热线，在线为您指导路线
福建省,福州市,鼓楼区(144),福州博润白癜风诊疗中心,福建「福州博润白癜风研究所」-福建福州哪家医院治白癜风-福建省白癜风专科医院,联系电话：0591-83819120,福建省福州市晋安区连凤路三木花园C区16号（前横南路和远洋路交叉口红绿灯旁）
